Recall,Precision,F1,Matching Time,#Results,Delta
0.1,0.9302325581395349,0.18058690744920994,7.581710815429688e-05,43,0.95
0.33,0.9230769230769231,0.4861878453038674,0.00024962425231933594,143,0.8999999999999999
0.4175,0.9329608938547486,0.5768566493955095,0.000354766845703125,179,0.8499999999999999
0.445,0.9270833333333334,0.6013513513513514,0.0004143714904785156,192,0.7999999999999998
0.4575,0.9195979899497487,0.6110183639398998,0.000469207763671875,199,0.7499999999999998
0.5625,0.9183673469387755,0.6976744186046512,0.0005826950073242188,245,0.6999999999999997
0.67,0.8993288590604027,0.7679083094555874,0.0007350444793701172,298,0.6499999999999997
0.7125,0.8796296296296297,0.787292817679558,0.001016855239868164,324,0.5999999999999996
0.725,0.7671957671957672,0.7455012853470437,0.0016107559204101562,378,0.5499999999999996
0.725,0.7671957671957672,0.7455012853470437,0.0018687248229980469,397,0.4999999999999996
