Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,7.62939453125e-06,0,0.95
0.0125,1.0,0.02469135802469136,2.7894973754882812e-05,5,0.8999999999999999
0.055,1.0,0.1042654028436019,7.367134094238281e-05,22,0.8499999999999999
0.14,0.9333333333333333,0.24347826086956526,0.00015735626220703125,60,0.7999999999999998
0.26,0.7591240875912408,0.3873370577281192,0.0003616809844970703,137,0.7499999999999998
0.4125,0.6066176470588235,0.49107142857142855,0.0008528232574462891,272,0.6999999999999997
0.49,0.5490196078431373,0.5178335535006605,0.0016062259674072266,357,0.6499999999999997
0.5125,0.5216284987277354,0.5170239596469105,0.0022668838500976562,393,0.5999999999999996
0.5125,0.5216284987277354,0.5170239596469105,0.002403736114501953,400,0.5499999999999996
