Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,1.1920928955078125e-06,0,0.95
0.0,0.0,0.0,5.9604644775390625e-06,0,0.8999999999999999
0.0,0.0,0.0,6.9141387939453125e-06,0,0.8499999999999999
0.0370872908186341,1.0,0.07152202354993457,4.8160552978515625e-05,82,0.7999999999999998
0.22523744911804613,0.9822485207100592,0.3664459161147903,0.00026035308837890625,507,0.7499999999999998
0.4843962008141113,0.9622641509433962,0.6444043321299638,0.0005998611450195312,1113,0.6999999999999997
0.770239710538218,0.9398454746136865,0.846631866766095,0.0010960102081298828,1812,0.6499999999999997
0.8819538670284939,0.8904109589041096,0.8861622358554875,0.00214385986328125,2190,0.5999999999999996
0.882858435097241,0.8892938496583144,0.8860644575578757,0.0035240650177001953,2195,0.5499999999999996
0.882858435097241,0.8892938496583144,0.8860644575578757,0.0037088394165039062,2195,0.4999999999999996
