Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,5.4836273193359375e-06,0,0.95
0.0,0.0,0.0,8.344650268554688e-06,0,0.8999999999999999
0.0,0.0,0.0,9.5367431640625e-06,0,0.8499999999999999
0.0,0.0,0.0,1.52587890625e-05,2,0.7999999999999998
0.0,0.0,0.0,1.9550323486328125e-05,4,0.7499999999999998
0.005,0.13333333333333333,0.009638554216867469,4.935264587402344e-05,15,0.6999999999999997
0.0225,0.28125,0.041666666666666664,9.632110595703125e-05,32,0.6499999999999997
0.045,0.3333333333333333,0.07929515418502203,0.00017881393432617188,54,0.5999999999999996
0.055,0.3188405797101449,0.09381663113006396,0.00022983551025390625,69,0.5499999999999996
0.395,0.5231788079470199,0.4501424501424502,0.0008227825164794922,302,0.4999999999999996
