Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,5.0067901611328125e-06,0,0.95
0.0,0.0,0.0,1.4543533325195312e-05,0,0.8999999999999999
0.0,0.0,0.0,1.5735626220703125e-05,0,0.8499999999999999
0.0,0.0,0.0,1.6450881958007812e-05,0,0.7999999999999998
0.0025,0.5,0.0049751243781094535,2.2172927856445312e-05,2,0.7499999999999998
0.02,0.8,0.03902439024390244,3.790855407714844e-05,10,0.6999999999999997
0.045,0.9,0.08571428571428572,5.745887756347656e-05,20,0.6499999999999997
0.1075,0.9148936170212766,0.19239373601789708,0.00010371208190917969,47,0.5999999999999996
0.1375,0.9016393442622951,0.2386117136659436,0.00013399124145507812,61,0.5499999999999996
0.6425,0.9049295774647887,0.7514619883040936,0.0004889965057373047,284,0.4999999999999996
